depth,rdeep_win_pct,retries
763,91.30,0
764,92.10,0
765,91.10,0
766,91.10,0
767,92.70,0
768,91.70,0
769,91.20,0
770,92.60,0
771,93.10,0
772,91.30,0
773,91.00,0
774,91.80,0
775,92.30,0
776,92.90,0
777,91.10,0
778,92.10,0
779,91.90,0
780,91.40,0
781,90.90,0
782,91.60,0
783,91.50,0
784,92.20,0
785,90.70,0
786,91.90,0
787,93.20,0
788,91.80,0
789,92.30,0
790,92.40,0
791,91.50,0
792,93.20,0
793,91.90,0
794,90.30,0
795,91.80,0
796,91.90,0
797,91.90,0
798,92.90,0
799,92.50,0
800,92.80,0
801,91.60,0
802,90.80,0
803,91.00,0
804,93.00,0
805,92.60,0
806,90.90,0
807,92.20,0
808,92.60,0
809,92.10,0
810,93.00,0
811,90.70,0
812,92.20,0
813,91.90,0
814,91.60,0
815,91.80,0
816,92.00,0
817,93.10,0
818,92.00,0
819,90.40,0
820,92.50,0
821,93.10,0
822,91.40,0
823,92.60,0
824,93.10,0
825,91.70,0
826,93.30,0
827,92.50,0
828,91.10,0
829,91.60,0
830,92.30,0
831,91.70,0
832,92.90,0
833,91.10,0
834,90.60,0
835,92.20,0
836,92.70,0
837,91.60,0
838,90.50,0
839,90.60,0
840,89.90,0
841,90.80,0
842,90.90,0
843,92.80,0
844,92.20,0
845,91.60,0
846,89.70,0
847,92.80,0
848,91.80,0
849,91.40,0
850,92.00,0
851,91.20,0
852,91.80,0
853,91.80,0
854,91.90,0
855,92.40,0
856,91.90,0
857,91.90,0
858,91.30,0
859,91.80,0
860,90.40,0
861,91.50,0
862,93.40,0
863,90.80,0
864,91.10,0
865,91.80,0
866,92.80,0
867,91.70,0
868,91.60,0
869,91.80,0
870,91.10,0
871,90.70,0
872,92.00,0
873,90.80,0
874,92.60,0
875,92.10,0
876,92.70,0
877,90.10,0
878,92.70,0
879,92.10,0
880,91.70,0
881,91.70,0
882,91.80,0
883,91.60,0
884,91.40,0
885,92.60,0
886,91.40,0
887,92.30,0
888,91.50,0
889,92.40,0
